pid,school_name,subject_field,degree,deg_duration
1,Mills College,,B.A. Computer Science,
1,Seattle University,M. Ed. Adult Education and Training,Educational Administration and Supervision,
4,Mills College,Master of Arts (MA),Interdisciplinary Computer Science,2010 – 2012
4,Pitzer College,BA,Music,2004 – 2008
4,Campolindo High School,,,
7,Stanford Graduate School of Business,MBA,Business,1995 – 1997
7,Mills College,Bachelor of Arts,Double Major in Computer Science & Media Communication,1989 – 1993
7,King's College London,,,
9,Occidental College,B.A.,Kinesiology (emphasis on Biomechanics),1992 – 1996
9,Mills College,M.A.,Interdisciplinary Computer Science,1997 – 1999
13,Mills College,Master of Arts in Interdisciplinary Computer Science,Computer Science,2013 – 2015
13,Independent Study,N/A,Computer Science,2012 – 2012
13,"University of California, Los Angeles",B.A.,"Political Science, International Area Studies/Economics",2007 – 2011
14,San Jose State University,MLIS,Library and Information Science,2008 – 2010
14,Mills College,BA,Intermedia Arts,2004 – 2008
17,Pennsylvania State University World Campus,Post-Baccalaureate Certificate,Geographic Information Systems,2010 – 2011
17,University of Pennsylvania,M.S.E,Computer and Information Science,2005 – 2008
17,Mills College,Post-Baccalaureate Certificate,Computer Science,2002 – 2004
17,"University of California, Berkeley",M.A.,History,1991 – 1994
17,Princeton University,B.A.,History,1985 – 1989
19,"Mills College, Lorry I. Lokey Graduate School of Business",MBA,Business Administration,2006 – 2007
19,Mills College,BA in Computer Science and a Minor in Economics,,2002 – 2006
20,Mills College,M.A.,Interdisciplinary Computer Science,1996 – 1999
20,Mills College,BA,"Biology, Psychology",1988 – 1992
20,San Marcos High School,,,1984 – 1988
20,Half Moon Bay Kuk Sool Won,,,
21,University of Waterloo,bMath,Applied Math Computer Science,1982 – 1987
21,Mills College,Master of Arts (M.A.),Interdisciplinary Computer Science,
21,University of Toronto,Bachelor of Education (BEd),Senior Mathematics and Computer Science,
22,Mills College,MA,Interdisciplinary Computer Science,1992 – 1997
22,University of Denver,MA,International Studies,1980 – 1985
22,University of Michigan,BA,German,1975 – 1979
25,Mills College,MA,Interdisciplinary Computer Science with emphasis in Education,2004 – 2007
25,University of Southern California,BA,English,1991 – 1994
29,Brown University,Master’s Degree,Computer Science,2015 – 2018
29,Mills College,MA (Transferred to Brown),Interdisciplinary Computer Science,2014 – 2015
29,UC Berkeley,Bachelor of Science (BS),Materials Science and Engineering,2003 – 2009
30,Sarah Lawrence College,Master of Fine Arts - MFA,Creative Writing,2016 – 2019
30,Hunter College,Bachelor of Arts (B.A.),Creative Writing,2011 – 2014
30,Mills College,,,2008 – 2010
30,Bryn Mawr College,N/A,N/A,2006 – 2006
30,Deak Ferenc Gimnazium,N/A,N/A,2003 – 2004
33,Mills College,MA,Computer Science,1989 – 1992
33,"University of California, Berkeley",AB,Linguistics,1977 – 1979
38,Mills College,Master of Arts (M.A.),Computer Science,2011 – 2013
38,Carnegie Mellon University,BA,Creative Writing,2005 – 2009
39,"University of California, Berkeley",Certificate,"Single Subject Credential, Mathematics",1986 – 1987
39,Mills College,MA,Interdisciplinary Computer Science,1993 – 1996
39,"University of California, Berkeley",B.A.,Theoretical Mathematics,1982 – 1986
43,Mills College,Master's degree,Interdisciplinary Computer Science,
43,Scripps College,Bachelor's degree,Organizational Studies and Women's Studies,
46,Mills College,MA,Interdisciplinary Computer Science,2005 – 2009
46,San Francisco State University,Certificate,Interdisciplinary Digital Arts,1999 – 2002
46,San Francisco State University,BA,Cinema Production,1999 – 2002
47,Mills College,MS,Interdisciplinary Computer Science,1992 – 1994
47,Mills College,MA,Electronic/Computer Music,1990 – 1992
47,New York University,BA,Music Theory & Composition,
51,Massachusetts Institute of Technology,PhD,Media Arts & Sciences (Media Lab),
51,Massachusetts Institute of Technology,SM,Visual Studies (Media Lab),
53,Mills College,MA,Interdisciplinary Computer Science,2007 – 2009
53,"University of California, Santa Cruz",BA,Sociology,1995 – 1999
53,Bellarmine College Preparatory,High School Diploma,,1991 – 1995
54,"University of California, Davis",BS,Renewable Natural Resources,
54,Mills College,MA,Interdisciplinary Computer Science,
56,Mills College,Master's Degree,Interdisciplinary Computer Science,1999 – 2001
56,Università Cattolica del Sacro Cuore,BA,Foreign Languages and Literature,1984 – 1990
57,Brandeis University,Ph. D.,Computer Science - Artificial Intelligence,1989 – 1999
57,Mills College,B.A.,Computer Science,1985 – 1989
59,Heald College,AAS,Networking Technology Cisco Systems,2003 – 2004
59,Heald College,AAS,Networking Technology Microsoft Systems,2003 – 2004
59,Heald College,AAS,Information Technology,2002 – 2003
59,Holy Names College,Study toward Business Management Degree,"Business Administration and Management, General",1998 – 2001
59,Mills College,Sudying for CS degree,Computer Science,2008
59,Mills College,Classes toward Computer Science,Computer Science,2008
60,Oregon State University,M.S,"Computer Science, Graphics and Image Technologies Laboratory",2006
60,Mills College,B.A,Computer Science; Mathematics,2003
61,Mills College,Master's degree,Computer Science,1985 – 1987
61,Indiana University Bloomington,Bachelor's degree,"Biology, General",
63,University of Minnesota-Twin Cities,Master of Science (MS),Computer Science,1983 – 1985
63,Mills College,Bachelor of Science (BS),Computer Science,1979 – 1983
66,Mills College,Bachelor's Degree,Economics,2012 – 2015
66,Mills College,Bachelor's Degree,Computer Science,2012 – 2015
66,Monta Vista High School,,,2009 – 2012
68,City University of New York School of Law at Queens College,Doctor of Law (J.D.),,2004 – 2007
68,Mills College,Bachelor of Arts (B.A.),"Political, Legal and Economic Analysis, Computer Science, Mathematics",1997 – 2001
76,CalStateTEACH,Multiple Subject Teaching Credential,Elementary Education and Teaching,2013 – 2014
76,American University,Postgraduate Coursework,International Relations,
76,Mills College,Master of Arts (M.A.),Interdisciplinary Computer Science,
76,Mills College,Bachelor's degree,International Relations and Affairs,
77,American University,Juris Doctor (J.D.),,1991 – 1994
77,Washington University in St. Louis,Bachelor’s Degree,Electrical Engineering,1983 – 1985
77,Mills College,Bachelor’s Degree,Computer Science,1980 – 1984
77,Punahou School,,,1967 – 1980
79,Georgia Institute of Technology,MS,Computer Science,2004 – 2009
79,Mills College,BA,Computer Science & Mathematics,1999 – 2002
80,University of Virginia,Ph.D.,Computer Science,2003 – 2006
80,University of Virginia,MCS,Computer Science,1999 – 2003
80,"University of California, Berkeley",B.A.,Asian Studies,1987 – 1991
84,Amherst College,Bachelor's degree,Mathematics,
84,Mills College,Master's degree,Interdisciplinary Computer Science,
89,Mills College,Bachelor's degree,Mathematics,2009 – 2013
89,Mills College,Bachelor of Arts (BA),Mathematics,2009 – 2013
90,"University of California, Santa Cruz",MA,Education,2006 – 2009
90,Mills College,MA,Interdisciplinary Computer Science,1999 – 2002
90,Simmons University,BS,Mathematics,1993 – 1997
91,University of California San Diego,,,
91,Mills College,,,
92,Massachusetts Institute of Technology,Ph.D.,Computer Science,2004 – 2008
92,Massachusetts Institute of Technology,S.M.,Computer Science,2001 – 2003
92,Stanford University,BA,American Studies,1990 – 1994
93,University of Colorado at Boulder,Ph.D.,Mathematics,1990 – 1995
93,Mills College,Bachelor of Arts,Computer Science/History (double major),1976 – 1983
99,Mills College,Certificate,Computer Science,1982 – 1984
99,University of St Andrews,M. Litt.,Medieval Studies,1972 – 1974
99,Vassar College,BA,Political Science,1966 – 1970
99,Dalton,,,1963 – 1966
101,Mills College,Master of Arts,Interdisciplinary Computer Science,2001 – 2003
101,Mills College,Baccalaureate of Arts,Communications,1995 – 1997
102,Mills College,,Computer Science,1990
102,APICS,,,
103,Mills College,MA,Interdisciplinary Computer Science,2002 – 2007
103,Mills College,BA,Dance,1998 – 2002
104,Mills College,Bachelor of Arts (B.A.),Computer Science,1988 – 1992
104,Mills College,Bachelor's degree,Computer Science,1988 – 1992
104,King's College London,Computer Science,Computer Science,1990 – 1991
104,KGS,High School,A levels,1987 – 1988
106,"University of California, Santa Cruz",Doctor of Philosophy (PhD),Scientific Visualization,1995 – 2001
106,Mills College,ba,"computer science, german",1989 – 1993
106,Zmaj,osnovna skola,,1976 – 1984
106,Osma Beogradska Gimnazija,,,
107,Mills College,MA,Interdisciplinary Computer Science,2002
107,Mills College,MFA,Electronic Music and Recording Media,1996
108,Mills College,MA,Computer Science,2011 – 2013
108,Carleton College,BA,Mathematics,2005 – 2009
109,Indiana University Bloomington,MIS,Information Science,2008 – 2010
109,Mills College,B.A.,Computer Science,1994 – 1998
110,Israel Tech Challenge,,Data Science and Cyber Security,2016 – 2017
110,Mills College,Bachelor's degree,Theoretical Mathematics and Computer Science,2010 – 2014
110,AFS Intercultural Exchange: Japan,,,2010 – 2011
110,The San Diego School of Creative and Performing Arts,,,2007 – 2011
111,Mills College,Master's degree,Interdisciplinary Computer Science,2002 – 2005
111,University of Wisconsin-Madison,BA,Biological Anthropology,1991 – 1996
112,Mills College,Master of Arts (MA),Interdisciplinary Computer Science,1995 – 1999
112,University of Hawaii at Manoa,Bachelor of Arts (BA),Fine and Studio Arts,1987 – 1992
114,College of Charleston,Bachelor of Arts (BA),English (also Secondary Education),
114,Mills College,,,
115,Mills College,M.A.,Interdisc. Computer Science,2002 – 2004
115,Mills College,M.A,Computer Science,
116,Royal Veterinary College,Bachelor’s Degree,Veterinary Medicine,2012 – 2016
116,Mills College,Bachelor’s Degree,"Biology, General",2007 – 2011
117,Santa Clara University,MBA,Managing Technology and Innovation,1999
117,Stanford University,MS,Engineering Economic Systems,1992 – 1993
117,Mills College,BA,"Computer Science, Economics (double)",1987 – 1991
117,American International School of Vienna,,,1983 – 1987
120,Mills College,M.A.,Interdisciplinary Computer Science,2010 – 2012
120,University of Michigan,B.S.E,Mechanical Engineering,2003 – 2007
