pid,pos_title,company_name,pos_summary,pos_start_month,pos_start_year,pos_end_month,pos_end_year,location
1,Peoplesoft Developer,California Public Employees' Retirement System,,05,2014,13,9999,"Sacramento, California Area"
1,Staff Programmer Analyst,California Department of General Services,,07,2009,04,2014,
1,Staff Programmer Analyst,California Department of Consumer Affairs,,03,2008,07,2009,
1,Systems Software Specialist & Staff Programmer Analyst,California Department of Justice,,06,2005,03,2008,
1,Senior Systems Analyst,Port of Seattle,,01,1998,09,2001,"Seattle, WA"
4,Software Engineer,"Proteus Digital Health, Inc",,11,2017,13,9999,Redwood City
4,Software Engineer,Striiv Inc.,"Developed the core features of the Striiv Android fitness using technologies such as Bluetooth Low Energy, the Java Native Interface and REST services. Spearheaded adoption of good programming, testing and documentation practices throughout the Android team.",04,2014,11,2017,"Redwood City, California"
4,Graduate Thesis,Mills College,"Contributed to open source App Inventor for Android project by designing and implementing a component enabling the creation of music-making applications using the Supercollider synthesis library, Android SDK, Android Native Development Kit (NDK) and Java Native Interface (JNI). Also designed and implemented scalability improving functionality ... See more",01,2012,03,2013,"Oakland, CA"
4,Teaching Assistant and Peer Tutor,Mills College,"Graded papers and assisted professors in Discrete Math, Theory of Algorithms and Computer Architecture. Tutored students in Discrete and Architecture, assisting with homework and labs. Presented material in an easy to grasp manner while still allowing students to reach conclusions themselves.",08,2010,12,2011,
4,Production and Technology Coordinator,New Century Chamber Orchestra,"Handled technical tasks and support for the administrative staff. Assisted the Librarian by performing technical troubleshooting, hardware/software installation and managing scanned sheet music files. Completed a major project in creating a Microsoft Access database catalogue for the organization’s library. The database has numerous features inclu... See more",04,2009,08,2010,
5,Managing Member/Operations Manager,Access Tech LLC,,09,2010,13,9999,"Portland, Oregon Area"
5,Owner,"Hedu Enterprises, LLC",,00,0000,00,0000,
5,Project Manager,CTG3,,00,2001,00,2013,
5,Project Manager,Portland Internetworks,,06,2008,12,2010,
7,Founder,Nivideum,"Strategy advisor for nonprofits, philanthropies and foundations
Clients span higher education institutions, technology nonprofits, foundations and health care systems",01,2016,13,9999,"Palo Alto, CA"
7,Strategy Consultant,Children's Health Council,"Spear-headed planning and launch of CHC's Teen Mental Health Initiative
Worked with a cross-functional team to expand current services by 50-100% in multiple divisions
Established CHC's Leadership Collaborative for mental health leaders in the Bay Ar... See more",04,2016,12,2017,
7,"Chair, Management Board",Stanford ACT,"Set strategic direction and actionable goals for next 3-5 years
Recruited and developed board members with functional roles and responsibilities
Enhanced professionalism and functioning of the board",08,2015,08,2016,
7,"Co-Chair, Diversity Committee",The Nueva School,"Spear-headed and organized parent led Diversity efforts at The Nueva School to enhance inclusivity, diversity and equity in the school community",08,2014,06,2016,
7,Online Education Expansion,Stanford University School of Medicine,Identified Online education and Global opportunities for Stanford School of Medicine,06,2014,10,2014,
7,Business Strategy,edX,"Generated ideas for business models and strategies and executed a pilot study for edX, focusing on synergies with Silicon Valley",08,2012,12,2013,
7,Project Leader,Stanford ACT (Alumni Consulting Team),"Project Leader, managing team of 4-6 alumni members, 2002-present
Board Member, 2005-2007. Management Board, 2012 - present

Stanford Online (Office of Vice Provost for Online Learning) - Strategy and Marketin... See more",00,2002,00,2012,San Francisco Bay Area
7,Charter School Launch,The Akanksha Foundation,"Business plan for new Charter School venture, Organizational restructuring.",00,2008,00,2010,"Mumbai Area, India"
7,Strategic Planning,American School of Bombay,"Strategy Consultant, managing team of 25 members
Member, Council of Advisors

Strategic and Marketing plan, Partnerships, Superintendent Search.",00,2008,00,2010,"Mumbai Area, India"
7,Partnerships & Organizational Alignment,Charles Armstrong School,"Partnership plan for establishing Teacher Training Institute, Alumni and Transition Program, Organizational Alignment.",01,2007,05,2007,San Francisco Bay Area
7,Market Entry Strategy,"Stratify, Inc",,00,2000,00,2001,San Francisco Bay Area
7,"Entrepreneur in Residence, Consumer Web Space",Kleiner Perkins Caufield & Byers,,00,1999,00,2000,San Francisco Bay Area
7,Product Manager,Informatica,"Product planning, Marketing, Sales Training, Strategic Customer Relations, Business Development, Industry Evangelism",00,1997,00,1999,San Francisco Bay Area
7,Management Consultant,Bain & Company,Strategic growth plan and branding strategy for Semiconductor client.,06,1996,08,1996,San Francisco Bay Area
7,"Project Leader, Software Engineer",Oracle,"Project Leader, Oracle Help, 1994-1995
Software Engineer, Oracle Book, 1993-1994",00,1993,00,1995,"Redwood Shores, CA"
7,Software Engineer,Microsoft,"Summer intern in Networking division, worked on Windows and Macintosh interoperability.",06,1991,08,1991,"Redmond, Washington"
9,Senior Software Engineer,Disney Streaming Services,,01,2018,13,9999,San Francisco Bay Area
9,Senior Software Engineer,BAMTECH Media,,08,2017,01,2018,"Point Richmond, CA"
