pid,skill_name,endorsement
1,SQL,2
1,SDLC,2
1,Databases,2
1,Software Development,1
1,Business Analysis,1
1,Requirements Analysis,1
1,Analysis,0
1,Oracle,1
1,Java,0
1,Access,0
1,Visual Basic,0
4,Java,19
4,Android,12
4,Music,6
4,Algorithms,5
4,Android Development,5
4,Unit Testing,0
4,Agile Methodologies,0
4,Web Development,5
4,Research,2
4,Sound,0
4,Mobile Applications,2
4,Software Development,0
4,Python,5
4,Databases,5
4,Git,0
4,C#,1
4,SQL,0
4,Android SDK,2
4,C,0
4,Teaching,1
4,Android NDK,0
4,Bluetooth,1
4,Software Design Patterns,0
5,VoIP,37
5,Managed Services,28
5,Telecommunications,22
5,Unified Communications,22
5,Telephony,16
5,MPLS,14
5,Ethernet,7
5,Data Center,6
5,Service Delivery,5
5,Contract Management,5
5,WAN,5
5,Network Design,5
5,SIP,5
5,Optical Fiber,3
5,Multiprotocol Label Switching (MPLS),1
5,Project Management,1
5,Wide Area Network (WAN),1
5,Voice over IP (VoIP),1
5,Session Initiation Protocol (SIP),1
5,Cisco Technologies,3
5,Cisco Systems Products,1
5,Co-location,15
5,ATM networks,6
5,T1,5
7,Strategy,38
7,Entrepreneurship,22
7,Business Development,15
7,Strategic Planning,15
7,Business Planning,7
7,Business Strategy,7
7,Product Management,6
7,Program Management,4
7,Consulting,3
7,Marketing Strategy,2
7,Leadership,14
7,Strategic Partnerships,9
7,Management,9
7,Training,7
7,Team Management,4
13,Java,6
13,Web Development,5
13,Data Analysis,4
13,Research,3
13,Android Development,3
13,iOS development,1
13,JavaScript,4
13,MySQL,4
13,jQuery,3
13,Ruby on Rails,2
13,Ruby,2
13,Microsoft Office,2
13,Objective-C,1
13,Scala,1
13,AngularJS,0
13,Go,0
14,Collection Development,5
14,Library,5
14,Library Research,4
14,Cataloging,1
14,Archives,1
14,Library Science,1
14,Library Reference,3
14,Circulation,2
17,Software Engineering,3
17,Technical Writing,1
17,Testing,1
17,Systems Engineering,1
17,Software Development,1
19,Market Research,12
19,Analytics,7
19,SaaS,7
19,Business Intelligence,5
19,CRM,4
19,Data Analysis,4
19,Project Management,3
19,Salesforce.com,6
19,SQL,2
19,JavaScript,2
19,Enterprise Software,2
19,Leadership,6
19,Customer Service,3
19,Critical Thinking,1
19,Confirmit,6
20,Java Enterprise Edition,6
20,FrameMaker,4
20,Software Development,4
20,Software Documentation,3
20,Agile Methodologies,2
20,User Experience,1
20,REST,3
20,XML,2
20,HTML,2
20,Management,2
20,Leadership,2
20,Critical Thinking,2
22,SQL,16
22,Software Documentation,7
22,ASP.NET,6
